year_harvest	NUMD	IRR	ETP_1	ETP_2	ETP_3	ETP_4	ETP_5	ETP_6	ETP_7	ETP_8	ETP_9	PR_1	PR_2	PR_3	PR_4	PR_5	PR_6	PR_7	PR_8	PR_9	RV_1	RV_2	RV_3	RV_4	RV_5	RV_6	RV_7	RV_8	RV_9	SeqPR_1	SeqPR_2	SeqPR_3	SeqPR_4	SeqPR_5	SeqPR_6	SeqPR_7	SeqPR_8	SeqPR_9	Tn_1	Tn_2	Tn_3	Tn_4	Tn_5	Tn_6	Tn_7	Tn_8	Tn_9	Tx_1	Tx_2	Tx_3	Tx_4	Tx_5	Tx_6	Tx_7	Tx_8	Tx_9
49	1	3	0.304846	0.626683	1.29263	2.73854	2.56201	3.12797	3.58925	2.88608	2.23008	3.42032	4.21884	3.21958	0.461804	6.26497	5.22092	4.77244	4.6965	3.30476	50.679	75.5464	134.343	220.876	190.388	215.238	231.748	197.662	177.957	0.604137	0.55823	0.56662	0.168841	0.648317	0.696014	0.600281	0.524544	0.429348	1.79635	2.58567	1.86854	8.01555	10.2559	13.4361	13.7848	13.4643	8.97415	6.71359	9.0844	10.551	20.1415	18.3016	21.2057	21.7033	21.5117	18.5958
3	2	2	0.396888	0.683701	1.41561	1.60884	3.04152	3.21018	3.26114	2.86578	2.03773	3.19292	2.40403	0.471456	2.38804	1.40838	1.83301	2.3356	0.56214	2.0318	31.4136	61.7952	132.952	113.16	204.557	212.156	199.441	169.782	139.286	0.432088	0.583647	0.136106	0.724561	0.38738	0.354678	0.288342	0.310696	0.409064	0.619285	3.8973	2.51622	8.01704	7.23772	11.1177	11.744	12.014	13.07	4.01143	10.0464	11.8138	14.9969	15.6002	19.9077	20.3726	21.2854	22.3144
5	2	2	0.359494	0.536619	1.19532	1.66714	2.3857	2.77947	3.23916	1.9759	1.68002	0.795149	0.482012	1.71449	1.29811	2.36396	4.03649	0.751561	4.16116	1.14936	44.5067	67.7915	89.4978	119.403	165.128	168.085	208.947	120.068	118.843	0.353424	0.292607	0.584324	0.345906	0.411998	0.610819	0.138087	0.573571	0.408772	-6.40738	-4.94581	2.50769	5.28425	7.31826	12.2424	12.5163	11.8334	10.6075	-2.00166	0.353953	8.84324	12.7756	14.9954	18.8694	21.7673	18.6559	17.951
6	2	2	0.236385	0.607098	1.02859	1.91294	2.91879	3.25358	3.60651	2.65396	1.97109	0.92871	0.873912	2.16809	1.27991	0.541249	1.5461	0.777319	1.18197	1.50913	36.2369	54.9015	91.1477	140.97	200.979	207.572	228.351	169.772	141.015	0.304188	0.352692	0.476797	0.471053	0.189587	0.449123	0.260328	0.355688	0.290643	-1.81046	2.69415	1.356	4.91734	9.61365	10.8733	12.8063	12.0623	10.1439	1.73483	7.19292	6.49413	12.3682	19.149	20.2536	23.319	21.9078	20.233
11	2	2	0.348354	0.43111	0.901594	2.04067	2.08592	3.01381	3.27069	2.29897	1.82931	1.32972	1.20914	1.87821	2.1351	3.2695	3.43688	1.40638	2.95293	0.508513	28.6217	53.7117	83.0438	156.08	148.102	198.966	205.098	151.891	141.223	0.508772	0.469298	0.440577	0.357602	0.74618	0.530994	0.279004	0.596491	0.187135	2.4603	-1.86471	2.23329	3.73874	8.50329	10.6672	13.883	12.6687	10.0801	6.04568	3.26894	8.48689	12.7098	16.9201	18.6815	23.1499	20.8123	19.5847
12	2	2	0.276281	0.557632	0.963655	1.33352	2.45442	3.59057	3.05441	2.55912	1.83101	1.87533	4.45378	2.17135	2.51126	1.85925	1.48837	2.20374	1.45954	1.09669	25.815	47.4184	83.978	102.459	175.836	230.812	192.18	172.331	127.464	0.652801	0.691416	0.673458	0.732456	0.223826	0.429532	0.527448	0.319468	0.247076	0.942521	0.460104	0.470896	3.54719	8.85647	13.0238	11.733	12.5307	10.0454	4.37465	5.03327	5.42725	9.47785	16.7387	21.836	20.0366	21.9576	19.8853
14	2	2	0.289264	0.457803	1.41911	1.62637	2.01354	2.65563	2.80647	2.39721	1.70098	2.2475	1.52047	1.23308	2.49548	2.15722	1.28961	2.81377	2.23706	1.46642	27.4098	47.8913	126.017	107.881	139.223	178.864	172.598	167.232	138.852	0.529428	0.578645	0.326259	0.654386	0.666384	0.496784	0.593379	0.413696	0.315497	-0.0338849	1.78408	2.69528	4.82917	7.88433	9.3904	13.2229	11.2831	7.05616	3.46252	6.87207	11.6334	10.8176	14.7622	17.2717	21.312	20.4722	16.8935
15	2	2	0.282957	0.434708	1.36732	1.48826	2.57384	3.50521	2.75184	3.31926	1.93675	0.979383	1.95006	0.326587	1.53985	2.81223	1.19484	1.96615	0.899036	3.66499	34.3349	53.3687	139.964	123.232	178.806	230.249	174.943	212.048	136.672	0.367572	0.626253	0.100736	0.517251	0.529994	0.159357	0.497453	0.284663	0.425146	-0.0262316	0.399345	0.0797633	2.74504	8.72369	11.9781	13.0376	13.1514	10.2439	3.59795	4.42672	9.84554	10.3839	16.3348	21.0013	20.8001	24.9151	20.6244
16	2	2	0.526437	0.61148	0.76732	2.28124	2.75783	3.19511	2.9077	2.63003	1.46359	2.22674	1.93909	2.27978	0.381156	1.32155	2.44528	1.373	1.6918	3.88547	32.5307	55.5581	75.9294	176.789	195.595	213.346	184.094	169.169	98.2101	0.598755	0.502193	0.555461	0.0918129	0.319468	0.488012	0.452462	0.332201	0.64883	3.75108	1.90311	3.57499	4.68053	7.48753	10.8599	11.837	12.4666	9.36918	7.7415	7.1587	8.87795	14.4511	15.9678	19.2915	19.8595	22.071	16.5194
18	2	2	0.449866	0.579204	1.21732	2.54513	2.96833	4.70692	3.75941	3.6452	1.36916	1.05246	1.21866	1.0723	0.63907	0.672064	0.208042	1.38214	0.227345	1.64006	34.2471	58.9993	118.785	195.372	209.77	277.501	225.319	225.391	107.887	0.413978	0.27193	0.296265	0.180409	0.212507	0.0497076	0.289757	0.153933	0.433626	1.9975	1.20376	-0.292567	2.93505	8.46428	13.6179	15.369	12.0535	9.5357	5.50895	5.93508	8.0193	12.785	18.7964	25.0291	25.5495	24.6075	18.5197
19	2	2	0.315161	0.513664	1.02065	1.67459	2.44664	2.30394	3.01846	2.27647	1.87316	2.36945	3.08864	1.69281	2.33331	2.5554	2.70681	1.87351	1.17807	0.319215	34.4696	49.3045	94.8446	139.392	174.21	153.396	191.075	159.017	140.519	0.535654	0.786028	0.527731	0.44269	0.581777	0.634503	0.368704	0.333899	0.176608	1.15885	3.09188	3.5926	2.89158	7.94021	10.9127	12.8555	11.7867	7.84282	4.38648	7.58014	10.3864	10.5218	15.619	17.6181	20.682	20.1492	18.3275
21	2	2	0.272738	0.4683	0.846944	1.74823	2.22125	3.04896	3.01919	2.22844	1.80838	1.15003	2.07844	4.17845	2.39856	2.04094	1.7793	0.927931	2.12839	0.815605	35.4506	50.7275	68.8055	132.819	161.315	199.733	198.745	145.249	145.194	0.389926	0.503446	0.854273	0.560234	0.540747	0.376023	0.184776	0.538483	0.221637	-5.14696	-0.906677	2.34985	4.13951	7.6924	11.6823	12.4321	11.6127	8.84385	-1.21696	3.30301	7.83656	11.2692	15.6912	18.9482	20.995	19.8846	19.1607
24	2	2	0.377927	0.564004	1.16283	2.13124	2.62426	3.00288	3.43693	2.41339	1.85018	2.47898	0.707127	2.0655	0.930813	2.93202	3.05697	1.13338	1.84126	2.51121	35.3299	71.2012	110.604	175.994	191.318	207.669	213.933	167.31	147.739	0.457838	0.31297	0.534522	0.309649	0.513016	0.614912	0.169213	0.486701	0.319006	-0.431854	1.10932	2.0131	2.96687	8.80426	12.8957	14.4319	12.4981	11.3735	3.6958	6.302	9.0417	12.1867	16.5204	20.3863	23.1599	20.642	21.5725
27	2	2	0.257508	0.635894	0.896246	1.9085	2.33029	2.83783	3.58479	2.44639	2.25927	1.70153	0.720536	2.77551	2.22417	2.48641	2.91258	2.12317	1.95416	1.27449	32.9739	84.4007	84.1139	144.174	164.71	193.882	236.021	162.47	158.981	0.616582	0.150376	0.612903	0.496784	0.443124	0.53538	0.292303	0.459819	0.0467836	-6.16994	-2.88492	1.25303	4.9859	9.29671	10.2101	13.0845	11.3176	10.2824	-0.71833	4.557	6.59039	12.3802	16.1462	17.5332	21.8523	19.6984	20.377
29	2	2	0.374834	0.472355	1.07364	2.41548	2.68839	2.62824	3.20765	2.55841	1.66342	1.3569	2.66322	2.41895	0.928647	2.39299	3.54856	3.0891	2.64381	1.86727	39.0461	46.2755	102.289	183.184	188.122	165.95	200.641	169.332	121.142	0.250141	0.788221	0.555744	0.514328	0.536785	0.796491	0.52292	0.338427	0.420468	-4.65572	0.0273319	0.112417	6.64899	6.40609	11.1156	13.2132	12.8222	12.3187	-0.833817	4.08021	6.31993	15.2535	13.7448	17.0851	20.599	20.9158	20.0642
31	2	2	0.329221	0.592275	1.39039	1.54773	4.11321	3.62246	3.90349	3.01662	2.05596	1.09336	1.99516	2.53731	4.0795	1.14129	2.44618	0.909093	1.29315	1.79886	31.8694	50.9162	100.273	121.382	258.728	231.194	233.26	187.575	137.019	0.445105	0.610589	0.523203	0.614035	0.170911	0.453216	0.383984	0.371817	0.371345	1.33424	1.81096	4.76718	3.7986	9.891	10.8849	13.8664	12.53	10.4529	5.26606	7.02084	12.5674	10.6032	20.41	19.92	23.6373	23.1316	20.1354
38	2	2	0.499234	0.624353	1.41808	2.78485	2.86673	4.11714	4.1913	2.9887	2.24629	1.21594	1.89999	0.821427	0.302033	2.468	1.17195	1.15104	4.33231	0.785892	39.9924	63.2353	132.394	208.057	198.746	256.26	246.272	180.769	154.006	0.282117	0.468845	0.217035	0.14883	0.454443	0.287719	0.264856	0.561686	0.332456	0.217358	-0.720699	0.597876	3.9918	7.16553	11.3445	12.2614	12.7379	8.10712	3.73776	3.18827	8.22198	14.692	14.2367	20.4112	21.5492	21.6175	17.0698
43	2	2	0.454848	0.730786	1.1351	1.97641	3.3489	3.60623	3.52033	3.06198	1.62023	3.96584	1.78373	5.4819	3.79895	1.05325	1.67395	3.80973	1.99356	4.08592	39.9932	68.299	94.0274	153.891	217.511	232.767	206.853	184.976	111.405	0.614601	0.506266	0.72326	0.764912	0.251556	0.394444	0.581777	0.424165	0.715205	1.81329	2.02145	4.89549	4.95635	10.2265	10.4426	14.5535	14.0497	9.0531	5.91492	6.95362	10.0769	11.2072	18.8295	19.723	22.9352	23.8266	15.8676
46	2	2	0.360168	0.851425	1.54753	2.21875	3.30058	3.73291	3.29433	2.60713	2.23058	3.51259	0.585354	1.35862	1.52518	1.76255	1.27165	2.48888	4.35529	1.13274	30.4225	76.1446	131.441	169.711	228.905	232.624	199.47	156.601	137.269	0.816072	0.388385	0.500566	0.521053	0.263158	0.435088	0.456989	0.693265	0.473977	0.920665	1.87469	2.41866	6.12766	7.94644	11.4948	13.2166	14.7322	11.4751	4.87401	7.19368	9.85864	13.9381	16.5798	20.1101	21.8771	23.0887	20.5814
49	2	2	0.613475	0.662243	1.53771	3.12989	3.39095	3.40327	3.56431	2.73209	2.20252	2.11528	3.60965	2.6955	0.217254	2.83583	3.34022	2.78583	2.54604	1.14801	42.4934	56.0193	125.844	220.064	212.149	200.737	208.991	166.377	145.276	0.542728	0.588659	0.609508	0.030117	0.696095	0.7	0.57442	0.435484	0.384503	4.5907	4.12342	3.05486	7.25084	10.7606	13.9763	13.0562	12.9141	9.37199	8.57225	8.84097	10.5211	19.9671	18.3777	20.4745	21.1091	20.5173	18.0895
3	3	2	0.373402	0.779804	1.45971	1.64678	2.54687	3.33473	3.22902	2.90159	2.27935	2.04607	1.67823	0.346576	2.10598	2.11826	2.17612	2.27566	1.74685	1.01206	36.8725	77.263	159.374	139.243	206.633	231.551	219.259	206.68	153.188	0.536968	0.418774	0.094205	0.584661	0.390808	0.470206	0.32201	0.264059	0.20472	0.420966	3.24539	0.601627	7.0562	6.99471	12.2376	12.2421	11.5163	13.3531	5.38211	12.0278	12.8452	16.4855	16.1646	20.8575	22.0759	21.8128	24.6247
5	3	2	0.291261	0.403456	1.1291	1.42962	2.49747	2.66783	3.52918	2.14994	1.39595	1.36486	1.76477	2.96743	1.39031	2.50531	3.12762	1.31752	5.12469	1.04768	52.7677	78.7547	109.159	135.952	197.216	188.743	246.928	156.397	129.83	0.408792	0.495575	0.58664	0.530088	0.355981	0.688201	0.382244	0.646589	0.327729	-7.44692	-6.48305	2.23914	4.83014	6.72044	11.7105	13.3214	11.91	9.99697	-0.71042	1.04825	10.4386	12.945	15.856	20.0036	23.203	20.002	18.5687
6	3	2	0.321981	0.541233	0.742127	1.59202	2.41358	3.66878	4.23293	3.06692	1.95818	0.657702	1.24326	2.25027	2.77783	2.85012	1.32148	0.440113	1.68795	1.51771	60.2355	66.8274	81.9069	134.66	183.335	252.411	269.687	201.854	143.491	0.120754	0.510528	0.481873	0.551917	0.409363	0.241298	0.233514	0.222666	0.29764	-2.83448	1.59185	2.20047	4.5538	8.8125	11.4058	13.4869	11.9809	11.0994	2.15522	8.10196	7.9128	13.7813	18.8018	21.7049	25.9481	23.1299	22.287
11	3	2	0.374392	0.476431	0.769353	1.71125	2.44856	2.25917	3.69666	2.55356	1.41663	1.31495	2.03116	1.95855	2.73879	3.47417	3.30685	1.22894	3.14246	3.49376	39.8135	56.8649	81.0332	140.7	180.861	165.812	233.418	177.77	127.41	0.418784	0.71871	0.479303	0.579646	0.640594	0.705605	0.314302	0.556666	0.431858	0.753787	-1.58892	3.02334	4.14152	8.38664	10.2553	13.9007	12.9017	10.7607	6.91001	4.54784	9.56384	12.7668	17.9286	18.1271	24.0322	21.7611	20.2599
12	3	2	0.323259	0.517728	0.708109	1.39752	2.61123	3.08351	3.27996	2.47801	2.24035	2.39531	4.91372	1.97123	2.41799	1.79372	4.23656	1.61944	2.03023	1.50473	36.2806	44.559	75.4043	122.082	200.1	212.282	221.014	180.032	166.021	0.532401	0.719027	0.566372	0.671386	0.423066	0.537463	0.249786	0.499001	0.159292	0.150249	1.541	0.318956	3.06687	7.68067	13.4974	12.7127	13.2323	9.63343	6.30025	6.40608	6.41376	10.6829	17.3403	22.2896	22.1221	22.8595	21.8988
14	3	2	0.315969	0.575347	1.28382	1.52038	2.17063	2.91924	3.38893	2.08306	1.57246	2.45134	2.39582	0.937813	1.4119	1.29879	2.0297	2.33471	3.81128	1.23138	40.8027	52.0422	126.678	128.042	167.285	214.217	229.079	155.396	148.597	0.489295	0.514495	0.307165	0.481121	0.373965	0.476696	0.424208	0.622609	0.239233	-0.170146	2.44444	2.06833	4.08154	7.09431	9.24932	12.6986	12.1184	5.90578	5.78219	9.13992	12.8086	11.3059	15.5532	18.8935	22.6268	20.5957	16.7447
15	3	2	0.315996	0.46934	1.34238	1.54462	2.42843	3.58421	3.12067	2.99899	2.08226	1.85087	2.04964	0.381346	1.03644	1.93578	2.63683	3.57915	1.46005	1.80481	45.9475	69.9684	149.575	142.073	179.526	243.652	206.99	207	156.446	0.340565	0.516435	0.0619469	0.307375	0.458464	0.327729	0.591493	0.32201	0.368732	-0.39596	-0.869485	-1.28967	1.44337	9.01595	11.6713	13.4085	14.4649	9.98346	3.49627	4.21767	9.57245	10.7416	18.6724	21.7563	22.0715	25.9105	22.3819
16	3	2	0.488136	0.525604	0.714697	1.77156	2.18211	3.20386	3.39046	2.97879	1.25977	1.03208	1.77559	2.30352	1.97141	2.41019	2.73164	1.1961	2.65316	4.35928	45.6555	54.5501	78.5014	163.526	178.342	226.219	234.082	203.884	104.547	0.300029	0.536662	0.43163	0.302655	0.52869	0.436873	0.353697	0.21553	0.551917	2.72175	1.36779	3.38352	3.12526	6.91078	10.7455	12.2675	12.5227	9.71655	9.07865	6.81118	10.7638	13.8038	16.0122	19.8811	22.1669	23.7916	17.9729
18	3	2	0.264344	0.506893	1.35395	2.27955	2.69576	4.93335	3.5132	2.99736	1.45053	1.23466	1.89442	0.244385	1.26404	1.87073	0.145979	1.482	2.00089	3.96974	39.0195	66.2348	148.825	196.481	205.191	305.691	228.611	210.576	123.579	0.436483	0.474519	0.233229	0.396165	0.242078	0.0587021	0.412504	0.342564	0.467257	-0.144007	1.04621	-0.56899	2.50822	8.01166	13.0154	14.7386	11.7379	9.13223	4.8513	7.96063	10.3472	13.5579	18.8523	26.0189	25.1951	24.6433	18.8312
19	3	2	0.363748	0.633721	1.06345	1.30286	1.80424	2.28929	2.95873	2.24	1.89649	2.48463	3.73757	2.47264	1.54759	5.99964	4.81329	4.03111	4.70261	0.248445	36.573	50.4626	106.39	122.307	148.112	164.51	208.148	174.448	164.283	0.521267	0.699115	0.465315	0.516224	0.745647	0.480826	0.473023	0.524693	0.126549	1.45722	3.89414	3.59075	2.97282	8.31204	11.0023	12.9369	11.2366	7.36799	5.81815	9.41656	12.6207	11.6126	15.4734	18.2952	21.4846	20.3527	18.714
21	3	2	0.302717	0.46891	0.893474	1.63453	2.30975	3.07077	3.79624	2.35828	2.06397	2.1574	2.68542	2.85717	2.23327	3.64641	2.6995	0.425263	3.66357	1.15834	45.9871	55.9758	87.1344	144.546	181.974	223.768	264.076	172.565	171.233	0.459035	0.570796	0.70197	0.59115	0.489009	0.475516	0.0599486	0.487297	0.270501	-3.48668	1.44553	2.93542	3.84149	7.45098	12.3017	12.7013	11.6145	9.16071	2.55283	6.33168	9.85237	11.4866	16.8128	20.339	23.3089	20.6921	20.1008
