year_harvest	NUMD	ETP_1	ETP_10	ETP_11	ETP_12	ETP_2	ETP_3	ETP_4	ETP_5	ETP_6	ETP_9	PR_1	PR_10	PR_11	PR_12	PR_2	PR_3	PR_4	PR_5	PR_6	PR_9	RV_1	RV_10	RV_11	RV_12	RV_2	RV_3	RV_4	RV_5	RV_6	RV_9	SeqPR_1	SeqPR_10	SeqPR_11	SeqPR_12	SeqPR_2	SeqPR_3	SeqPR_4	SeqPR_5	SeqPR_6	SeqPR_9	Tn_1	Tn_10	Tn_11	Tn_12	Tn_2	Tn_3	Tn_4	Tn_5	Tn_6	Tn_9	Tn17.2_1	Tn17.2_10	Tn17.2_11	Tn17.2_12	Tn17.2_2	Tn17.2_3	Tn17.2_4	Tn17.2_5	Tn17.2_6	Tn17.2_9	Tx_1	Tx_10	Tx_11	Tx_12	Tx_2	Tx_3	Tx_4	Tx_5	Tx_6	Tx_9	Tx010_1	Tx010_10	Tx010_11	Tx010_12	Tx010_2	Tx010_3	Tx010_4	Tx010_5	Tx010_6	Tx010_9	Tx34_1	Tx34_10	Tx34_11	Tx34_12	Tx34_2	Tx34_3	Tx34_4	Tx34_5	Tx34_6	Tx34_9
33	1	0.388991	0.837103	0.2801	0.221426	0.488765	1.05713	1.95755	3.13852	3.075	1.94081	1.72899	5.10002	5.35531	4.74535	1.92664	3.85032	1.65797	1.0573	4.87866	2.50331	46.7579	79.753	39.3243	39.7991	81.4202	97.5985	177.094	232.505	212.452	164.139	0.21108	0.504558	0.730072	0.478261	0.449146	0.374825	0.287319	0.346424	0.603623	0.17029	-1.0985	8.28507	2.79186	-2.96159	-3.28875	4.37012	2.90356	6.0088	11.4542	8.77641	0	0	0	0	0	0	0	0	0	0	4.32762	16.7447	7.59029	1.56557	4.94067	12.9385	13.1643	15.9776	19.9469	19.8157	22.0109	1.16304	19.8804	19.3478	14.6522	6.22826	8.76087	5.26087	0.206522	0.0108696	0	0	0	0	0	0	0	0	0	0
36	1	0.328331	0.60356	0.321005	0.312096	0.467549	1.35923	1.54136	2.421	3.73344	1.28928	5.87774	8.51088	1.44079	6.06771	2.58825	1.34093	4.49267	3.79117	2.64849	9.39448	43.4997	67.9466	49.8533	29.8901	60.8279	132.834	139.452	178.712	245.418	109.051	0.672511	0.618163	0.360507	0.822931	0.628882	0.396914	0.605435	0.620968	0.432609	0.657609	-0.0894033	6.58387	0.0618116	1.95797	1.03954	3.75034	3.64669	9.66778	12.1309	9.41499	0	0	0	0	0	0	0	0	0	0	5.43547	11.7399	5.45717	7.04674	7.13552	13.5385	10.8203	18.1513	21.5838	17.341	25.6739	11.5	19.7391	21.9022	20.6957	5.54348	17.0435	0.673913	0.456522	1.04348	0	0	0	0	0	0	0	0	0	0
37	1	0.389577	0.888038	0.358511	0.286727	0.583901	1.20596	2.13359	2.78955	3.60935	1.31384	6.74451	3.16477	3.53263	3.7448	6.72558	3.73744	4.00006	5.00278	1.25745	8.23715	47.6976	91.0427	41.9458	38.6549	67.9188	124.564	178.132	208.417	254.863	111.467	0.712132	0.380084	0.451812	0.446704	0.707686	0.55575	0.369928	0.431627	0.389493	0.730072	-1.66032	6.52979	5.03657	1.43104	2.14066	-0.0675168	4.38086	8.13794	10.4772	10.2095	0.293478	0	0	0	0	0	0	0	0	0	4.31754	15.5485	11.6804	6.83859	8.79837	8.55382	13.3778	17.7664	19.8533	17.5395	21.8043	2.43478	10.2391	19.0978	17.1522	19.663	7.38043	1.79348	0.315217	1.47826	0	0	0	0	0	0	0	0	0	0
42	1	0.201033	0.765712	0.306176	0.306048	0.544591	1.29415	1.6654	2.7747	3.99131	1.91881	1.36177	5.95477	2.92328	5.04479	4.71439	1.99743	3.93509	3.34977	0.910667	5.35732	55.2259	79.0127	52.3425	37.304	78.4389	140.333	145.693	208.781	256.825	140.509	0.234222	0.467391	0.33587	0.63359	0.444528	0.341164	0.576087	0.688289	0.259058	0.542029	-2.81015	7.10432	-0.115041	-0.641198	0.410149	0.679746	5.19732	10.298	12.586	12.2031	0.163043	0	0	0	0	0	0	0	0	0	3.60058	14.6577	6.22156	5.24404	7.57573	11.0504	14.1667	19.7278	22.8222	22.1557	25.2826	3.04348	19.1304	24.5326	20.6739	11.6196	5.91304	0.347826	0.0543478	0.0217391	0	0	0	0	0	0	0	0	0	0
48	1	0.294475	1.15213	0.428642	0.249478	0.497714	0.958167	2.11458	2.39968	4.38517	1.85427	1.79495	2.80268	2.95755	3.12521	2.8947	5.86929	3.37281	3.92655	1.41786	1.3746	57.4736	104.612	65.6759	40.728	78.7894	107.196	184.027	184.901	281.942	149.165	0.343268	0.392707	0.379348	0.514376	0.404891	0.704769	0.492754	0.678121	0.323913	0.474638	-2.65161	9.6315	1.41986	-3.08008	-1.89783	1.30113	5.05642	9.55797	13.8333	11.2332	0	0	0	0.0217391	0	0	0	0	0	0	3.20972	17.8071	7.94051	1.74418	3.81297	8.63429	14.0409	17.9095	23.8464	21.1597	26.2065	0.608696	16.75	19.913	19.25	17.2826	7.01087	1.84783	0.304348	0.619565	0	0	0	0	0	0	0	0	0	0
49	1	0.304846	0.946294	0.635662	0.347646	0.626683	1.29263	2.73854	2.56201	3.12797	1.88505	3.42032	3.53791	3.21491	2.81408	4.21884	3.21958	0.461804	6.26497	5.22092	1.61833	50.679	95.8896	64.094	49.6727	75.5464	134.343	220.876	190.388	215.238	147.546	0.604137	0.467391	0.405435	0.379032	0.55823	0.56662	0.168841	0.648317	0.696014	0.450725	1.79635	9.92298	5.08995	0.295149	2.58567	1.86854	8.01555	10.2559	13.4361	13.4187	0	0	0	0	0	0	0	0	0	0	6.71359	18.234	11.7504	6.14214	9.0844	10.551	20.1415	18.3016	21.2057	22.3249	17.7391	0.108696	10.9239	18.1304	16.6087	11.25	0.619565	1.68478	0.315217	0.0869565	0	0	0	0	0	0	0	0	0	0
51	1	0.302409	0.781816	0.285534	0.226226	0.509083	1.30815	1.97977	3.24642	3.80437	1.67574	2.13436	4.1356	2.75763	3.54104	4.05218	2.3859	1.65777	1.54946	3.67849	5.93904	59.0305	82.9659	51.7103	42.5963	79.3751	135.131	176.965	228.162	254.047	152.185	0.253506	0.595021	0.677174	0.495091	0.587733	0.531206	0.356522	0.392707	0.492029	0.432609	-3.49039	6.79638	2.8	-0.786017	-1.62743	1.16309	6.6862	11.5891	12.7852	8.77422	0	0	0	0	0	0	0	0	0	0	2.26824	13.7907	8.23737	3.49383	4.83039	9.69086	16.0627	20.9723	22.1955	17.7768	21.8804	7.32609	16.7065	27.8804	22.8587	14.8913	2.18478	0.184783	0.0108696	0.847826	0	0	0	0	0	0	0	0	0	0
52	1	0.183988	1.05913	0.435776	0.236547	0.421391	1.10999	2.41442	2.43361	3.32207	2.0202	2.88132	2.83606	5.69213	4.02397	4.22976	2.82482	1.36436	4.39395	2.82833	2.03108	42.7013	107.57	46.1093	35.3372	62.9812	124.133	204.056	181.27	228.738	159.042	0.618513	0.460379	0.742391	0.70547	0.64868	0.433029	0.274275	0.573282	0.527899	0.461594	-3.47387	5.74679	5.32257	-0.101212	-1.41098	0.926267	5.76273	8.59446	13.2839	11.0328	0	0	0	0.0543478	0.0326087	0	0	0	0	0	1.06243	14.9941	11.0509	5.13753	4.51599	9.23801	16.118	15.5412	21.3092	20.4933	18.5652	5.29348	12.0978	19.0326	15.2826	14.3804	3.59783	4.6087	0.271739	0	0	0	0	0	0	0	0	0	0	0
55	1	0.206618	0.925375	0.401852	0.232059	0.454195	0.971879	1.78147	1.92783	3.78268	1.90031	3.53088	2.85584	6.88899	5.87029	3.76216	3.07512	4.39965	6.39919	3.00575	4.44883	47.9846	94.0877	55.5379	37.1612	76.8841	112.874	153.011	164.316	261.205	154.079	0.525596	0.417602	0.528623	0.817321	0.561335	0.507714	0.488406	0.737728	0.497826	0.496015	-1.26258	7.91225	3.9897	0.541202	-3.56424	1.05906	5.33259	7.073	12.1472	10.8237	0	0	0	0	0	0	0	0	0	0	3.51236	15.9173	9.94156	5.22818	2.04169	7.9144	13.4874	13.6109	20.6955	19.7939	24.3804	3.90217	13.4783	21.3261	20.5435	20.8043	10.0326	5.88043	0.163043	0.119565	0	0	0	0	0	0	0	0	0	0
1	2	0.444292	0.841547	0.303834	0.329926	0.602916	1.01978	1.79867	3.34096	3.7261	1.59562	2.38213	2.14677	1.86394	2.89573	0.0941406	1.88392	2.29202	0.586022	0.902991	2.35751	40.2931	65.4056	37.1112	33.314	87.9282	95.9473	132.453	218.681	238.651	117.409	0.513299	0.551783	0.374269	0.57725	0.049812	0.465478	0.424561	0.207131	0.259064	0.443275	-0.417513	7.80362	3.12863	2.34656	-1.40244	3.9141	5.60389	9.14476	11.6867	11.8838	0	0	0	0	0	0	0	0	0	0	3.78215	13.1992	6.84902	6.32546	5.19625	11.1743	13.5555	17.9969	21.2817	19.8903	25.1667	3.82456	23.4386	24.4035	22.8684	9.20175	5.04386	0.114035	0	0	0	0	0	0	0	0	0	0	0	0
2	2	0.413847	1.28621	0.493339	0.487844	0.627886	1.18722	2.11364	2.70991	3.49601	2.81827	1.63442	2.13421	1.62321	2.59799	1.45932	1.85986	0.513404	1.19749	1.59927	0.19479	33.2615	105.019	35.2095	21.8879	59.7063	101.443	156.195	191.55	219.062	185.729	0.67459	0.276457	0.358772	0.612903	0.471869	0.366723	0.234795	0.354839	0.358187	0.0666667	0.124598	5.8408	3.33098	3.50587	1.24264	3.83846	4.34903	8.98001	11.9186	8.88311	0	0	0	0	0	0	0	0	0	0	4.92073	16.3373	7.5203	6.9228	6.07266	10.4309	13.1401	18.8885	20.6231	23.0459	19.0439	2.95614	24.0351	27.3772	24.0351	13.307	4.84211	0.614035	0	0	0	0	0	0	0	0	0	0	0	0
10	2	0.309866	0.908772	0.343585	0.213503	0.494186	1.35631	2.16867	2.1557	2.66858	1.29124	2.93586	3.10387	2.20712	2.53155	2.43092	1.41634	1.40357	1.65837	2.39457	3.33564	26.3913	68.8292	42.3592	28.3919	51.6783	101.826	176.506	151.253	168.578	101.244	0.629032	0.461517	0.43655	0.518393	0.536903	0.43039	0.338304	0.41511	0.572222	0.494737	-0.265143	8.64314	2.21667	-0.227587	0.424875	2.65518	4.31605	7.11892	11.1265	10.5229	0	0	0	0	0	0	0	0	0	0	4.33745	14.7763	7.36004	3.9021	4.67743	9.44785	14.3346	14.2366	18.9985	18.3349	23.307	2.62281	24.9211	25.3596	27.8509	20.8772	5.20175	2.25439	0	0	0	0	0	0	0	0	0	0	0	0
11	2	0.348354	0.645105	0.305238	0.214162	0.43111	0.901594	2.04067	2.08592	3.01381	1.29425	1.32972	1.10267	1.01916	1.44132	1.20914	1.87821	2.1351	3.2695	3.43688	3.49696	28.6217	56.598	39.0854	27.4496	53.7117	83.0438	156.08	148.102	198.966	95.5165	0.508772	0.327674	0.350292	0.450481	0.469298	0.440577	0.357602	0.74618	0.530994	0.683918	2.4603	9.39029	2.34455	-1.60236	-1.86471	2.23329	3.73874	8.50329	10.6672	10.7698	0	0	0	0	0	0	0	0	0	0	6.04568	15.1292	7.0101	2.15873	3.26894	8.48689	12.7098	16.9201	18.6815	18.1166	28.693	0.859649	19.7018	20.5351	17.4298	19.9298	10.0439	1.28947	0.649123	0	0	0	0	0	0	0	0	0	0	0
12	2	0.276281	0.873259	0.547635	0.21332	0.557632	0.963655	1.33352	2.45442	3.59057	1.82931	1.87533	0.094778	3.5426	1.81762	4.45378	2.17135	2.51126	1.85925	1.48837	0.508513	25.815	93.0171	36.3549	22.8362	47.4184	83.978	102.459	175.836	230.812	141.223	0.652801	0.0319751	0.661696	0.475665	0.691416	0.673458	0.732456	0.223826	0.429532	0.187135	0.942521	6.23084	3.18431	-2.56535	0.460104	0.470896	3.54719	8.85647	13.0238	10.0801	0	0	0	0	0	0	0	0	0	0	4.37465	16.2839	8.81718	1.14712	5.03327	5.42725	9.47785	16.7387	21.836	19.5847	26.1491	0.236842	16.0526	17.5877	22.3333	26.7807	17.5965	0	0	0	0	0	0	0	0	0	0	0	0	0
14	2	0.289264	1.0338	0.37764	0.27589	0.457803	1.41911	1.62637	2.01354	2.65563	2.04416	2.2475	0.56981	2.97319	0.378434	1.52047	1.23308	2.49548	2.15722	1.28961	0.513484	27.4098	104.366	38.8101	29.0951	47.8913	126.017	107.881	139.223	178.864	158.232	0.529428	0.218166	0.559064	0.20515	0.578645	0.326259	0.654386	0.666384	0.496784	0.212866	-0.0338849	4.94231	1.69693	1.96747	1.78408	2.69528	4.82917	7.88433	9.3904	8.30378	0	0	0	0	0	0	0	0	0	0	3.46252	15.33	6.75375	5.51815	6.87207	11.6334	10.8176	14.7622	17.2717	19.5876	26.693	3.70175	24.0526	26.0439	26.2895	14.5789	12.4211	1.26316	0	0	0	0	0	0	0	0	0	0	0	0
16	2	0.526437	0.868307	0.386927	0.339684	0.61148	0.76732	2.28124	2.75783	3.19511	1.93675	2.22674	1.90237	2.24517	1.78177	1.93909	2.27978	0.381156	1.32155	2.44528	3.66499	32.5307	81.7638	48.6247	26.195	55.5581	75.9294	176.789	195.595	213.346	136.672	0.598755	0.344086	0.331871	0.612903	0.502193	0.555461	0.0918129	0.319468	0.488012	0.425146	3.75108	5.3537	1.53847	0.544321	1.90311	3.57499	4.68053	7.48753	10.8599	10.2439	0	0	0	0	0	0	0	0	0	0	7.7415	12.8743	7.69495	4.86433	7.1587	8.87795	14.4511	15.9678	19.2915	20.6244	24.5702	5.68421	21.1228	25.3509	22.2105	21.0263	5.26316	2.63158	0.192982	0.578947	0	0	0	0	0	0	0	0	0	0
18	2	0.449866	0.717952	0.314676	0.24714	0.579204	1.21732	2.54513	2.96833	4.70692	1.48079	1.05246	0.700919	3.18581	0.603374	1.21866	1.0723	0.63907	0.672064	0.208042	3.61079	34.2471	72.8623	39.1466	36.3945	58.9993	118.785	195.372	209.77	277.501	100.766	0.413978	0.174307	0.559064	0.172892	0.27193	0.296265	0.180409	0.212507	0.0497076	0.448246	1.9975	5.28865	2.52618	-0.254883	1.20376	-0.292567	2.93505	8.46428	13.6179	11.1762	0	0	0	0	0	0	0	0	0	0	5.50895	11.6921	7.67242	3.23881	5.93508	8.0193	12.785	18.7964	25.0291	19.0799	25.2193	10.0702	23.7982	26.8684	18.193	21.8158	9.57895	0.0263158	0	0	0	0	0	0	0	0	0	0	2.35965	0
26	2	0.52052	1.01944	0.442462	0.37217	0.564305	1.01265	2.29593	1.69153	3.34172	1.67229	4.27216	1.0713	1.84547	1.45344	2.34803	1.64958	1.47426	3.08373	1.15535	2.49201	29.9505	83.7633	51.9395	32.9037	62.724	125.307	195.173	136.954	233.371	113.699	0.780419	0.437465	0.181579	0.40747	0.476104	0.34833	0.151462	0.674873	0.27924	0.494444	1.69402	6.63987	2.45088	1.34848	0.303324	0.300743	3.17287	7.2032	10.8978	10.0686	0	0	0	0	0	0	0	0	0	0	5.53404	13.9619	8.87207	5.71357	4.83544	7.24501	13.2983	12.9695	18.6041	18.2692	29.4298	4.92105	16.9298	25.6053	27.5088	24.2456	10.9825	4.71053	0	0	0	0	0	0	0	0	0	0	0	0
28	2	0.443823	1.20665	0.403888	0.489967	0.634494	1.08339	1.49668	2.76241	3.93884	2.25927	3.0219	0.424746	2.06014	1.17485	0.195755	3.5519	3.27391	1.57137	2.1471	1.27449	29.3883	102.886	36.7895	25.3588	80.7087	99.4877	115.242	184.508	242.522	158.981	0.738823	0.176005	0.623684	0.452745	0.0996241	0.47142	0.690058	0.470289	0.490643	0.0467836	0.797873	6.35926	0.124514	3.50031	-6.35399	1.29604	3.1829	9.10516	12.609	10.2824	0	0	0	0	0	0	0	0	0	0	4.89971	14.7746	5.02795	7.16367	-0.0420422	7.98514	9.09117	16.8789	20.9703	20.377	29.8509	4.82456	19.5965	20.4912	12.8684	22.5439	18.193	0.140351	0.982456	0	0	0	0	0	0	0	0	0	0	0
33	2	0.429659	1.26516	0.396693	0.25553	0.562214	1.3392	2.4767	3.29404	2.89794	2.08414	2.51818	2.88981	2.3196	2.91669	0.822575	2.02864	1.42934	0.693123	2.38373	1.3532	40.8015	83.936	37.0303	25.3201	56.8968	100.542	184.57	224.747	189.057	141.473	0.356536	0.33305	0.656433	0.602151	0.322682	0.559706	0.413158	0.298246	0.701754	0.337719	0.804276	8.5729	3.72236	1.02655	-3.41073	5.5149	3.46382	6.37803	9.99835	8.15186	0	0	0	0	0	0	0	0	0	0	4.9216	16.2422	8.37201	4.49332	2.3663	12.3075	13.1286	14.569	16.357	18.5776	24.1491	1.09649	20.4649	28.0965	11.7281	7.92105	8.18421	6.16667	0.0877193	0	0	0	0	0	0	0	0	0	0	0
36	2	0.468672	1.13832	0.543113	0.381445	0.625887	1.35135	2.19661	3.09741	4.03031	1.76285	2.99381	3.68348	1.2526	6.36884	1.39782	2.27124	2.69489	2.43623	1.30971	3.12074	34.8589	92.3032	51.9255	23.6636	59.1363	107.068	172.055	215.456	252.334	119.999	0.636389	0.583192	0.192105	0.886248	0.426692	0.572156	0.558772	0.516129	0.16462	0.577485	2.93798	6.58333	0.0980809	3.30891	0.670981	4.16047	4.56438	9.00451	10.7088	9.93939	0	0	0	0	0	0	0	0	0	0	6.4599	11.3701	4.83919	7.43308	5.75545	11.1099	11.8457	16.7257	20.3611	16.7624	26.3509	14.2368	19.0088	22.9298	21.0614	12.6053	12.9386	0.0175439	0	0.0175439	0	0	0	0	0	0	0	0	0	0
37	2	0.512926	1.3318	0.543023	0.453452	0.867404	1.50692	2.14649	3.16409	3.91222	1.73518	5.77083	1.71476	1.12356	2.26604	3.47731	2.90645	2.25941	1.82203	1.23732	2.69078	34.3003	94.088	44.6801	32.2452	65.8644	125.841	159.794	222.136	249.222	120.758	0.789757	0.45416	0.444152	0.572156	0.859336	0.655631	0.411696	0.383135	0.439474	0.644444	1.43401	5.70634	8.0267	3.25808	4.38707	1.61449	5.25083	8.75102	10.6448	10.1046	0	0	0	0	0	0	0	0	0	0	6.14318	14.6626	12.2266	7.543	9.00221	8.83639	12.2764	17.441	18.8362	16.9892	24.9912	1.08772	4.51754	17.1579	19.6053	21.5	7.29825	1.57895	0	0.0175439	0	0	0	0	0	0	0	0	0	0
