"year_harvest"	"NUMD"	"ETP_1"	"ETP_10"	"ETP_11"	"ETP_12"	"ETP_2"	"ETP_3"	"ETP_4"	"ETP_5"	"ETP_6"	"ETP_9"	"PR_1"	"PR_10"	"PR_11"	"PR_12"	"PR_2"	"PR_3"	"PR_4"	"PR_5"	"PR_6"	"PR_9"	"RV_1"	"RV_10"	"RV_11"	"RV_12"	"RV_2"	"RV_3"	"RV_4"	"RV_5"	"RV_6"	"RV_9"	"SeqPR_1"	"SeqPR_10"	"SeqPR_11"	"SeqPR_12"	"SeqPR_2"	"SeqPR_3"	"SeqPR_4"	"SeqPR_5"	"SeqPR_6"	"SeqPR_9"	"Tn_1"	"Tn_10"	"Tn_11"	"Tn_12"	"Tn_2"	"Tn_3"	"Tn_4"	"Tn_5"	"Tn_6"	"Tn_9"	"Tn17.2_1"	"Tn17.2_10"	"Tn17.2_11"	"Tn17.2_12"	"Tn17.2_2"	"Tn17.2_3"	"Tn17.2_4"	"Tn17.2_5"	"Tn17.2_6"	"Tn17.2_9"	"Tx_1"	"Tx_10"	"Tx_11"	"Tx_12"	"Tx_2"	"Tx_3"	"Tx_4"	"Tx_5"	"Tx_6"	"Tx_9"	"Tx010_1"	"Tx010_10"	"Tx010_11"	"Tx010_12"	"Tx010_2"	"Tx010_3"	"Tx010_4"	"Tx010_5"	"Tx010_6"	"Tx010_9"	"Tx34_1"	"Tx34_10"	"Tx34_11"	"Tx34_12"	"Tx34_2"	"Tx34_3"	"Tx34_4"	"Tx34_5"	"Tx34_6"	"Tx34_9"	"Class"
"19"	19	1	0.342205	0.624387	0.420319	0.324715	0.503898	1.04609	1.22281	1.77107	2.50931	1.59868	4.73704	3.336	4.94833	3.83693	7.9022	3.02621	3.60741	4.80404	4.5039	7.26002	32.2554	64.5832	47.7731	33.1497	48.5507	99.989	113.604	152.107	186.903	135.809	0.553997	0.606241	0.426812	0.434432	0.774457	0.485624	0.564493	0.70547	0.561232	0.470652	0.309693	7.60164	1.83841	-1.18554	3.0114	3.94898	3.13766	8.29161	11.0762	9.57583	0	0	0	0	0	0	0	0	0	0	4.65111	14.1514	7.2153	3.36898	8.11748	11.8789	11.2255	16.1315	18.8833	17.8771	22.9022	4.88043	21.1848	17.8152	16.9891	9.47826	10.5217	2.70652	0.184783	0.923913	0	0	0	0	0	0	0	0	0	0	1
"20"	20	1	0.306115	0.953096	0.39592	0.368516	0.434896	0.886236	1.4449	1.99532	2.70812	1.84033	4.59821	4.15225	3.9489	4.28164	5.69185	5.29948	2.24065	3.56993	2.20341	0.489182	37.1788	89.696	47.7509	43.6063	50.8409	85.9206	146.335	164.712	199.684	165.696	0.624825	0.490884	0.589855	0.461431	0.685947	0.534712	0.496377	0.714236	0.494565	0.0822464	-1.29314	8.14182	1.95887	0.209593	-0.0489238	1.77072	3.12055	8.22897	11.4088	8.12767	0	0	0	0	0	0	0	0	0	0	3.11541	16.5194	8.248	6.28807	5.16787	9.63913	10.9343	15.315	19.9536	17.8171	26.5543	1.1413	13.8478	22.4674	17.1304	16.5978	11.0761	3.72826	0.48913	1.3587	0	0	0	0	0	0	0	0	0	0	0
"21"	21	1	0.20291	0.954596	0.448171	0.494589	0.414115	0.73452	1.52201	2.56362	3.1867	2.05759	5.52946	1.14271	0.406507	5.03051	4.26022	6.14135	2.67688	3.21628	3.6628	1.96282	37.8965	99.6813	63.5843	32.9358	50.4666	71.1754	143.985	188.555	222.415	170.203	0.684081	0.221248	0.177536	0.613955	0.611413	0.834502	0.471014	0.334151	0.577899	0.325	-3.69876	5.31069	0.667865	2.15668	1.02801	3.27707	3.18341	8.34362	13.028	8.72428	0	0	0	0	0	0	0	0	0	0	1.14309	13.2275	6.97923	6.86611	5.76993	9.4166	11.1625	17.5815	21.092	19.018	20.4891	10.3913	17.7065	18.9022	18.5761	15.75	12.1957	3.36957	0.402174	0.434783	0	0	0	0	0	0	0	0	0	0	0
"22"	22	1	0.304192	0.620278	0.344009	0.375593	0.625274	0.737612	1.80777	2.05918	2.61885	1.99484	3.50868	5.09258	3.93229	5.26859	3.86362	4.76938	1.22485	3.40872	4.77415	1.26105	38.0924	67.4696	48.5197	34.8035	66.0845	85.5321	170.395	170.874	196.695	162.877	0.495091	0.428471	0.457609	0.562062	0.508246	0.608696	0.447464	0.44986	0.691667	0.218116	-1.36722	8.8974	1.50077	0.951209	1.75855	1.64326	2.86265	7.19433	11.0694	9.88244	0	0	0	0	0	0	0	0	0	0	2.70683	15.2554	6.97033	6.71521	7.97727	8.17486	10.9998	15.5641	18.3784	19.6215	20.4565	3.94565	22.6739	16.9348	20.8913	21.0326	13.5543	1.93478	0.706522	1.31522	0	0	0	0	0	0	0	0	0	0	0
"23"	23	1	0.286267	0.73572	0.452203	0.25244	0.406401	0.892525	1.79273	1.91446	3.41977	2.13979	5.40767	6.05324	2.54936	3.57224	2.151	4.42092	0.834346	4.87017	3.79552	3.75687	48.8133	80.521	46.8751	38.0191	78.6236	87.8265	170.919	155.795	237.631	172.014	0.545582	0.441445	0.413043	0.647966	0.344332	0.69425	0.212319	0.644109	0.303986	0.243116	-3.52373	5.42771	1.58629	-3.38704	-3.76711	4.71103	5.07815	8.77933	11.2217	10.9875	0	0	0	0	0	0	0	0	0	0	1.45856	12.9986	7.32294	1.57184	3.25456	12.0899	14.719	15.9988	20.2326	20.2887	21.5761	8.18478	16.3043	20.1304	22.2391	10.6087	5.26087	2.73913	0.282609	0	0	0	0	0	0	0	0	0	0	0	0
"24"	24	1	0.292323	0.604438	0.382266	0.382815	0.437456	0.965726	2.39567	2.54896	2.52645	1.21218	3.82925	5.25391	2.08294	8.13962	0.550338	3.48989	0.70703	2.37441	5.2834	5.47079	36.385	64.5252	57.9149	26.2195	74.4485	111.139	206.789	209.897	197.722	113.503	0.521739	0.726858	0.135145	0.887798	0.14441	0.419004	0.143841	0.407784	0.532246	0.56558	1.17145	6.49368	0.894683	0.451763	0.301569	0.809443	2.6705	8.58777	13.2936	11.4301	0	0	0	0	0	0	0	0	0	0	6.23325	13.726	7.56088	5.3432	6.58002	8.84476	13.6812	18.0351	21.4274	19.272	24.663	8.30435	16.0652	23.6304	22.1957	19.7391	4.73913	2.13043	0.217391	0.456522	0	0	0	0	0	0	0	0	0	0	0
"25"	25	1	0.222669	0.443358	0.455534	0.287994	0.371577	0.973414	1.23986	1.45467	3.43209	1.66308	2.83667	5.45393	6.30405	6.43342	3.98208	3.5857	7.88304	9.50243	1.62059	3.90926	40.1025	63.504	49.9455	30.5889	67.2201	116.385	106.982	122.769	234.726	148.447	0.451613	0.622721	0.458333	0.525947	0.51941	0.402875	0.768841	0.747546	0.351449	0.158696	-0.160145	7.00716	3.62416	1.13	-2.54837	1.68877	5.19219	7.91849	13.2053	12.0701	0	0	0	0	0	0	0	0	0	0	4.69257	12.9468	10.4886	5.15031	2.57634	9.30942	12.4117	14.6945	22.4233	21.5368	24.1848	4.76087	13.1087	22.2717	17.9674	17.0543	9.04348	3.65217	0.0434783	0	0	0	0	0	0	0	0	0	0	0	1
"27"	27	1	0.188902	0.699828	0.485833	0.21786	0.447687	0.853265	2.15793	1.69123	2.8755	1.33691	3.7825	4.66635	3.24762	2.75582	3.32219	3.68116	3.29287	6.53759	4.5788	5.82614	37.1494	76.8403	43.4403	36.4128	68.6741	90.8772	171.893	142.573	211.64	115.043	0.689691	0.403927	0.416304	0.457574	0.424689	0.624825	0.498188	0.618864	0.606522	0.699275	-6.66146	7.23108	5.02466	-0.0606452	-0.728446	0.739486	4.57991	8.46996	10.8591	9.8877	1.77174	0	0	0	0	0	0	0	0	0	-1.62228	14.1281	12.0301	4.71313	5.96697	6.67574	13.7165	16.0535	19.8706	17.6344	13.4783	2.53261	11.1848	24.1304	16.3478	23.7391	7.05435	4.70652	0.0869565	1.54348	0	0	0	0	0	0	0	0	0	0	0
"29"	29	1	0.245478	0.995878	0.509737	0.295831	0.327431	0.940242	2.18278	2.30268	2.55016	1.90382	2.45593	2.62097	2.63373	4.64765	3.53718	2.59784	2.23396	4.43534	7.20545	2.4875	36.0222	97.3152	60.8764	35.3015	50.1741	102.727	176.933	182.208	182.433	150.326	0.347826	0.388149	0.260507	0.625526	0.654891	0.43864	0.419203	0.682679	0.681884	0.321014	-5.74626	8.24486	3.14363	0.36321	0.0829821	-0.179713	4.96639	6.33672	11.2569	10.6663	0.358696	0	0	0	0	0	0	0	0	0	-1.44944	16.1793	9.50852	4.50199	4.42589	7.34484	15.258	14.7885	18.8496	20.0663	9.78261	4.23913	15.8913	20.7935	19.1848	23.2174	5.84783	5.47826	0.608696	0	0	0	0	0	0	0	0	0	0	0	0
"30"	30	1	0.353615	0.657002	0.273147	0.178227	0.622176	0.678238	1.72984	1.9196	3.11392	2.09605	4.85086	5.2326	3.07349	2.57767	4.2303	5.66996	2.22914	5.51128	2.32256	2.96294	29.9011	58.3468	41.9061	34.2003	70.4634	76.9666	154.445	151.68	223.488	159.741	0.682679	0.688289	0.543116	0.348527	0.559595	0.756662	0.498188	0.735624	0.536594	0.305435	2.76048	9.06565	2.8002	1.03984	-0.265111	1.54451	5.77096	10.5587	11.8331	12.5304	0	0	0	0	0	0	0	0	0	0	7.48919	15.8004	7.4871	5.37766	5.92201	7.82636	15.0792	17.7919	20.9606	22.8367	22.6196	0.891304	21.163	22.7717	21.6739	20.6087	1.66304	0.0869565	0.315217	0.326087	0	0	0	0	0	0	0	0	0	0	1
"31"	31	1	0.300031	0.671979	0.328752	0.171943	0.520047	1.33239	1.09744	3.57338	3.76819	1.75973	0.826686	6.21614	1.61781	3.09848	3.04225	2.69671	6.79996	2.18138	0.798838	2.99981	59.9379	74.158	57.3526	38.5505	68.0938	121.976	105.656	256.558	251.343	145.602	0.15568	0.457223	0.265217	0.429172	0.470497	0.346774	0.780435	0.359748	0.292029	0.336232	-0.989051	8.45963	-0.0396998	-0.0600203	-0.327799	3.1921	4.28886	10.2044	11.3744	9.81869	0	0	0	0	0	0	0	0	0	0	4.57843	16.061	6.43897	4.35329	7.05245	13.2894	11.22	21.0265	21.9575	19.7355	25.087	3.09783	16.3587	25.6087	17.5978	8.78261	12.837	0.0543478	0.130435	1.07609	0	0	0	0	0	0	0	0	0	0	0
"32"	32	1	0.373547	1.29178	0.378916	0.578213	0.758656	1.38165	1.36347	3.19879	2.87676	1.84362	1.85733	1.98907	4.07204	2.13293	8.35446	0.799226	3.63654	2.65059	5.70749	1.3792	55.5153	111.909	63.8381	44.4927	68.6571	142.1	128.952	236.049	203.313	148.963	0.196353	0.195302	0.270652	0.212132	0.570264	0.15568	0.54058	0.379383	0.554348	0.239493	-2.59274	6.73731	0.144453	0.502044	3.61456	1.8288	3.3683	10.8559	11.7735	10.1321	0	0	0	0	0	0	0	0	0	0	4.40453	16.857	8.67239	6.71211	11.1132	12.3941	11.8681	21.0676	20.3904	20.6357	21.8152	1.1413	16.1413	13.4022	10.25	10.3913	10.8913	0	0.0108696	0	0	0	0	0	0	0	0	0	0	0	1
"34"	34	1	0.438379	0.800933	0.391699	0.265831	0.656721	0.934025	2.08685	3.10496	2.60614	2.10638	0.815434	4.00369	4.80132	3.80761	2.55111	3.58431	3.44768	3.26194	4.18026	7.98004	57.2272	93.1237	49.0988	52.1847	93.8827	100.592	173.626	220.47	189.574	155.094	0.16655	0.606241	0.601812	0.242286	0.37069	0.462482	0.372826	0.37237	0.677536	0.407246	-3.52352	6.05421	2.49388	-2.27105	-1.38	2.18274	4.46318	10.5349	12.1387	12.8174	0	0	0	0	0	0	0	0	0	0	1.78632	13.3847	8.3495	3.00543	6.32128	10.257	14.4282	20.1317	19.7596	22.8599	19.1739	9.05435	18.9674	21.8696	18.7283	13.7174	6.36957	0.358696	0.141304	0.119565	0	0	0	0	0	0	0	0	0	0	0
"35"	35	1	0.325193	0.34075	0.320127	0.387346	0.548382	1.4102	1.64858	2.52846	3.33448	1.86337	1.57781	5.97711	7.33274	3.0088	0.61552	0.573086	3.05517	3.93784	3.6076	2.74225	52.0564	54.4699	41.1198	42.9611	78.3539	152.221	147.088	194.073	220.87	157.883	0.271739	0.776648	0.589493	0.340112	0.225932	0.130084	0.63442	0.644811	0.518478	0.388406	0.0632541	5.76061	4.35765	1.33682	-3.09503	-0.229199	5.42967	9.72566	12.6141	9.95271	0	0	0	0	0.0543478	0	0	0	0	0	6.81064	10.4789	9.42628	5.96071	3.42793	10.7831	14.5746	18.1793	21.3855	19.4171	17.5761	12.4457	15.4891	20.3043	24.5217	13.4022	4.61957	0.434783	0.358696	0.0869565	0	0	0	0	0	0	0	0	0	0	0
"38"	38	1	0.370545	1.01891	0.471956	0.238683	0.469582	1.11729	2.01616	2.44521	3.92416	1.26082	1.96749	2.4743	2.6008	3.68492	3.25419	1.26181	1.901	4.6043	2.35989	6.13842	40.2633	92.2482	57.1203	29.8721	68.5384	132.772	176.457	181.75	259.552	114.016	0.517532	0.27805	0.330435	0.588359	0.634558	0.297335	0.298551	0.618864	0.336957	0.625725	1.20201	9.04414	1.654	0.065128	-2.21327	-0.323303	4.27562	8.58192	12.6289	7.71219	0	0	0	0	0.130435	0	0	0	0	0	6.4037	18.487	9.14074	4.53978	3.62051	9.21388	14.5652	16.5877	21.9782	16.5716	24.413	0.0869565	18.0217	22.4239	20.913	20.5543	4.8587	2.31522	0.282609	0.826087	0	0	0	0	0	0	0	0	0	0	0
"39"	39	1	0.305571	0.833647	0.394619	0.245887	0.693563	1.64983	2.75598	2.90351	2.32708	1.89532	2.5864	2.70776	9.22859	3.71566	2.41519	0.548026	1.75984	3.93856	5.23359	1.05501	41.1479	88.8334	45.9797	34.9072	80.4361	162.776	229.646	207.976	169.615	158.884	0.475806	0.353436	0.68913	0.389551	0.55163	0.0992286	0.169928	0.580295	0.685507	0.357609	-2.11007	5.13462	1.37608	-0.308939	0.834703	1.67832	2.50106	9.77364	11.9511	6.32934	0	0	0	0	0	0	0	0	0	0	2.93748	14.3328	8.24914	4.39358	8.87713	13.662	15.24	19.1078	20.0819	17.3461	19.663	2.79348	18.7826	22.0217	12.663	5.01087	2.22826	1.03261	0.0869565	0.836957	0	0	0	0	0	0	0	0	0	0	0
"40"	40	1	0.371926	1.03738	0.414347	0.212666	0.836273	1.35969	1.33546	3.38304	3.29701	2.40329	3.85612	2.25724	5.01649	4.64707	1.17736	1.58552	6.26624	1.87584	2.6558	1.56715	48.2942	103.1	48.856	32.3065	94.1253	131.185	120.415	240.215	222.785	180.772	0.470547	0.31101	0.510507	0.63359	0.151786	0.243338	0.814855	0.226157	0.481884	0.267029	0.0154381	5.56299	2.79908	0.489116	-0.851634	0.986588	4.47508	9.55721	11.9185	9.77221	0	0	0	0	0	0	0	0	0	0	5.6918	14.7907	10.0421	5.6562	8.92158	11.0283	12.435	19.8972	21.5717	22.1989	20.3261	9.61957	15.587	23.6848	10.7065	12.2174	9.29348	0.402174	0.271739	0	0	0	0	0	0	0	0	0	0	0	0
"41"	41	1	0.338403	0.705869	0.293823	0.312794	0.383886	1.13852	1.57361	2.48225	3.33923	1.4689	4.65899	4.15093	4.00561	1.67265	6.82408	3.42486	4.89744	3.61426	3.43401	7.35076	46.1031	75.1909	56.8815	43.198	59.3961	117.052	141.831	183.959	231.924	121.347	0.523843	0.740533	0.531522	0.320477	0.640528	0.40007	0.727536	0.578541	0.478986	0.676812	-0.0634301	6.52157	-1.45317	-2.11011	-2.24556	1.91783	4.26977	11.4219	10.6417	10.0359	0	0	0	0.0434783	0.0434783	0	0	0	0	0	6.13992	13.678	5.24092	4.37926	3.27171	10.9228	12.8661	19.7526	20.2817	18.7647	22.2391	3.82609	20.6196	22.6087	21.5	12.1522	8.1413	0.282609	0.108696	0.847826	0	0	0	0	0	0	0	0	0	0	0
"43"	43	1	0.338176	0.688289	0.416139	0.359709	0.739264	0.865267	1.38624	2.64253	3.54562	1.88179	4.30428	5.92995	6.03072	3.25696	1.93474	9.27716	5.15263	3.51003	3.58298	2.98852	37.155	76.7613	43.4435	35.4716	82.0506	84.1369	130.277	191.804	244.175	150.872	0.562062	0.597125	0.72029	0.525245	0.453804	0.791024	0.68442	0.580645	0.49058	0.314493	1.39241	6.69481	3.64604	2.46739	0.0949001	5.37852	4.13813	10.8034	10.938	10.1515	0	0	0	0	0	0	0	0	0	0	6.32773	14.4804	9.63059	8.42587	7.63582	12.1918	10.9201	18.9876	20.7121	20.9699	24.7065	2.71739	17.1196	19.3696	18.9674	9.05435	13	1.17391	0.326087	0.163043	0	0	0	0	0	0	0	0	0	0	0
"44"	44	1	0.310438	1.09435	0.379327	0.197801	0.52069	1.2418	1.92069	2.14566	3.54253	1.41557	1.67792	3.72131	2.60544	1.92705	3.9547	1.79368	0.907908	5.29883	2.43576	3.31362	57.272	98.7154	56.985	47.5973	64.3627	130.814	170.643	168.853	237.862	126.631	0.287167	0.656381	0.396015	0.326087	0.751165	0.353086	0.295652	0.630435	0.244928	0.710145	-2.1574	9.8464	-0.0437521	-3.37208	2.66272	2.90933	3.97748	7.86274	13.8352	7.85672	0	0	0	0	0	0	0	0	0	0	5.16768	18.9472	6.12202	2.20918	8.5832	12.4068	15.2345	16.0706	23.7197	16.2907	22.7174	0.076087	24.4239	15.3804	17.2609	9.68478	2.97826	4.71739	0.152174	1.27174	0	0	0	0	0	0	0	0	0	0	0
"45"	45	1	0.257192	0.746169	0.307711	0.185358	0.58818	1.44942	2.33655	2.80528	4.74711	1.6137	3.24634	4.70917	11.6245	3.78945	1.47398	0.942731	2.41428	1.93425	0.927879	2.15612	43.7566	85.1825	43.6677	27.7486	90.0719	155.196	191.607	203.669	274.8	137.255	0.596774	0.51683	0.861956	0.700912	0.28455	0.1946	0.28913	0.527349	0.388043	0.508333	-2.4376	6.49267	4.96816	3.28185	-3.32866	1.59176	4.94726	9.87539	17.1523	9.45437	0	0	0	0	0.163043	0	0	0	0	0	2.60052	15.1876	10.2247	6.87462	4.59663	14.0789	15.7873	19.3975	28.6449	18.195	18.163	1.65217	15.1957	27.4783	19.3478	4.8913	5.92391	0.913043	0	1.55435	0	0	0	0	0	0	0	0	2.26087	0	1
